Phrase,label
is right at home in this French shocker playing his usual bad boy weirdo role,Positive
team,Positive
"offbeat humor , amusing characters ,",Positive
warmest,Positive
"as a relic from a bygone era , and its convolutions ... feel silly rather than plausible",Negative
bizarre,Negative
"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",Negative
"uncluttered , resonant gem",Positive
films that leaps over national boundaries and celebrates universal human nature,Positive
that waxes poetic far too much for our taste,Negative
an amazing slapstick instrument,Positive
very different from our own and yet instantly recognizable,Positive
"lets you brush up against the humanity of a psycho ,",Positive
the heroes of horror movies try to avoid,Negative
cinematic,Positive
they succeed,Positive
confident filmmaking and a pair of fascinating performances,Positive
of the few ` cool ' actors who never seems aware of his own coolness,Positive
"'s little to recommend Snow Dogs ,",Negative
"coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie",Negative
impossible,Negative
gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game,Positive
The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,Negative
to feel like other movies,Positive
more interested in entertaining itself,Negative
and hellish conditions,Negative
almost feels as if the movie is more interested in entertaining itself than in amusing us .,Negative
pretty good execution,Positive
pomposity and,Positive
to avoid solving one problem by trying to distract us with the solution to another,Negative
after a couple of aborted attempts,Negative
the script 's endless assault of embarrassingly ham-fisted sex jokes,Negative
are poorly delivered,Negative
the smug self-satisfaction usually associated with the better private schools,Negative
alone could force you to scratch a hole in your head .,Negative
might like and more experimental in its storytelling,Positive
losing,Negative
embarrassingly ham-fisted,Negative
are powerful and moving without stooping to base melodrama,Positive
decent material,Positive
its music or,Negative
's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .,Positive
"Invigorating , surreal , and resonant",Positive
loosely-connected string,Negative
try too hard to be mythic,Negative
constructs,Positive
that relays its universal points without lectures or confrontations,Positive
"The movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension",Negative
"still like Moonlight Mile , better judgment be damned .",Positive
Hartley created a monster but did n't know how to handle it .,Negative
more experimental,Positive
emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .,Positive
its own,Positive
", all-enveloping movie experience",Positive
veiling tension,Negative
Provides the kind of ` laugh therapy ' I need from movie comedies,Positive
special walk,Positive
psychologically,Positive
so much fun,Positive
spiritual,Positive
riveting set pieces,Positive
the comedy equivalent,Positive
a love song to the movies,Positive
has finally found the right vent -LRB- accurate,Positive
"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",Positive
gritty,Positive
major problem,Negative
brilliant,Positive
that plays like some weird Masterpiece Theater sketch with neither,Negative
concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation,Positive
children,Positive
When it 's this rich and luscious,Positive
nuances,Positive
-LRB-,Negative
empty,Negative
might enjoy this,Positive
"the intrigue , betrayal , deceit and murder",Negative
"feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs",Negative
pointless,Negative
honest,Positive
is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,Negative
"attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing",Positive
corny examination,Negative
"A thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people ,",Positive
"Written , flatly ,",Negative
Mr. Polanski is in his element here,Positive
memorable zingers,Positive
of barely defensible sexual violence to keep it interested,Negative
"Inventive , fun , intoxicatingly sexy , violent , self-indulgent and maddening .",Positive
"an example of the kind of lush , all-enveloping movie experience",Positive
predictable in the reassuring manner of a beautifully sung holiday carol,Positive
well-constructed,Positive
silly beyond comprehension,Negative
vapid actor 's exercise,Negative
"Best indie of the year , so far .",Positive
delivers a perfect performance that captures the innocence and budding demons within a wallflower .,Positive
get the same love story and,Positive
of embarrassingly ham-fisted sex jokes,Negative
breezy blend,Positive
banality,Negative
as big-screen remakes of The Avengers and The Wild Wild West,Negative
"crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing",Positive
frighten and,Negative
wisecracking Mystery Science Theater 3000 guys,Positive
that keeps you,Positive
perfectly entertaining,Positive
reassuring manner,Positive
IMAX in short,Positive
need more X and less blab,Negative
thoughtful what-if,Positive
photographed and staged by Mendes with a series of riveting set pieces,Positive
vulgar and forgettably,Negative
"A fascinating , dark thriller",Positive
real,Positive
could hate it for the same reason,Negative
that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun,Positive
"to call for prevention rather than to place blame , making it one of the best war movies ever made",Positive
from baseball movies that try too hard to be mythic,Negative
"pat storylines , precious circumstances",Positive
visual charm,Positive
A macabre and very stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .,Positive
Both lead performances are Oscar-size .,Positive
it 's inoffensive and actually rather sweet,Positive
that are powerful and moving without stooping to base melodrama,Positive
is n't that funny,Negative
"The filmmakers want nothing else than to show us a good time , and in their cheap , B movie way , they succeed .",Positive
charm,Positive
want to look it up,Positive
surprisingly affecting,Positive
Whenever it threatens to get bogged down in earnest dramaturgy,Negative
a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor,Positive
preposterous moments,Negative
the man,Positive
is worth seeking,Positive
-- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,Negative
"hopefully , sets the tone for a summer of good stuff",Positive
leaps over national boundaries and celebrates universal human nature,Positive
Masterpiece,Positive
spectacularly,Positive
"Like the world of his film , Hartley created a monster but did n't know how to handle it .",Negative
the sizzle of old news that has finally found the right vent -LRB- accurate,Positive
exotic creatures,Positive
goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .,Negative
all-enveloping movie experience,Positive
solid ',Positive
delicate,Positive
"into an evanescent , seamless and sumptuous stream of consciousness",Positive
"only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department",Positive
graced,Positive
"Poor editing , bad bluescreen , and ultra-cheesy dialogue",Negative
career,Positive
complex,Positive
any less psycho,Negative
"gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements",Positive
Although fairly involving as far as it goes,Positive
is n't,Negative
"'' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",Negative
its position,Positive
the first computer-generated feature cartoon to feel like other movies,Positive
Thanks largely,Positive
emotionally at least -RRB-,Positive
is among Wiseman 's warmest .,Positive
` fatal script error,Negative
the flash of rock videos fused with solid performances and eerie atmosphere .,Positive
funnier,Positive
rip-roaring,Positive
more re-creations of all those famous moments,Positive
sumptuous,Positive
the gratuitous cinematic distractions,Negative
decent,Positive
chuckles,Negative
clunky TV-movie,Negative
brilliant gag,Positive
vapid,Negative
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder",Positive
good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion,Positive
Eerily accurate,Positive
thoughtful,Positive
moment,Positive
"most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars",Positive
fit,Positive
strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama,Positive
there 's definite room for improvement .,Negative
Robert Harmon 's less-is-more approach delivers real bump-in - the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows .,Positive
is n't a very,Negative
"A triumph , a film that hews out a world and carries us effortlessly from darkness to light .",Positive
wondering about the characters ' lives after the clever credits roll,Positive
The Importance of Being Earnest offers opportunities for occasional smiles and chuckles,Positive
"Cinema Paradiso will find the new scenes interesting ,",Positive
Inventive,Positive
memorable cinematic experience,Positive
that makes Eight Legged Freaks a perfectly entertaining summer diversion,Positive
"'d probably turn it off , convinced that you had already seen that movie",Negative
other than to employ Hollywood kids and people who owe favors to their famous parents .,Negative
companion,Positive
Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and,Negative
of world cinema 's most wondrously gifted artists,Positive
Arthur Schnitzler 's Reigen,Positive
"Sy , another of his open-faced , smiling madmen ,",Positive
A difficult but worthy film,Positive
airless cinematic shell games .,Negative
gifted,Positive
is well,Positive
"from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction",Negative
"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",Positive
very funny romantic comedy,Positive
Proves that some movie formulas do n't need messing with --,Positive
's very different from our own and yet instantly recognizable,Positive
"serves as a workable primer for the region 's recent history ,",Positive
Manages to please its intended audience -- children -- without placing their parents in a coma-like state .,Positive
occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is,Positive
of its lurid fiction,Positive
this one is a sweet and modest and ultimately winning story .,Positive
misses,Negative
thrilling combination,Positive
world cinema 's most wondrously gifted artists,Positive
prisoner,Negative
"Like Smoke Signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama",Positive
misses its emotions,Negative
this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,Negative
", paralyzed",Negative
"stoner midnight flick , sci-fi deconstruction",Negative
"an evanescent , seamless and sumptuous stream of consciousness",Positive
the cliches with considerable dash,Negative
very good,Positive
interested,Positive
"you get a lot of running around , screaming and death .",Negative
style and,Positive
a sincere performance,Positive
the film never veers from its comic course,Positive
It 's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .,Positive
lead performances,Positive
's hard to say who might enjoy this,Negative
moving,Positive
gets the tone just right,Positive
no doubt that this film asks the right questions at the right time in the history of our country,Positive
something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,Positive
incoherence,Negative
", despite the gratuitous cinematic distractions impressed upon it , is still good fun .",Positive
injects just enough freshness,Positive
dramatic,Positive
plays like a loosely-connected string of acting-workshop exercises,Negative
"is -RRB- the comedy equivalent of Saddam Hussein ,",Negative
"In the director 's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes .",Positive
has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,Positive
gifted artists,Positive
add much-needed levity to the otherwise bleak tale,Positive
big stars and,Positive
and it is n't that funny .,Negative
Trouble,Negative
has about 25 minutes of decent material,Negative
gratitude,Positive
"coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes",Negative
fairly basic comedic constructs,Positive
A very funny romantic comedy,Positive
all those famous moments,Positive
photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,Positive
the franchise 's best years,Positive
you to scratch a hole in your head,Negative
"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability",Positive
"A breezy blend of art , history , esoteric musings and philosophy",Positive
thick with wit it plays like a reading from Bartlett 's Familiar Quotations,Positive
emotional connections,Positive
worthy,Positive
absorbing,Positive
fun,Positive
good-natured,Positive
better than any summer blockbuster,Positive
Scarcely worth,Negative
sounding,Positive
the expense of those who paid for it and those who pay to see it,Negative
It shows us a slice of life that 's very different from our own and yet instantly recognizable .,Positive
big stars and high production values,Positive
A surprisingly ` solid ' achievement by director Malcolm D. Lee and writer John Ridley .,Positive
is good-natured and never dull,Positive
humorous,Positive
is ugly to look at and not a Hollywood product,Negative
and sumptuous stream,Positive
Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,Negative
bogged down in earnest dramaturgy,Negative
A welcome relief,Positive
should stop trying to please his mom,Negative
can depress you about life itself .,Negative
amiable,Positive
a degree of randomness usually achieved only by lottery drawing,Negative
seamless and sumptuous stream,Positive
plotting,Positive
"gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner",Positive
disappointed,Negative
"Inventive ,",Positive
amiable but unfocused,Negative
hero,Positive
open,Positive
solid performances and,Positive
turn and devolves,Negative
that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating,Negative
ends up sounding like satire,Negative
an amazing slapstick,Positive
real stars,Positive
modest,Positive
seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .,Negative
through than in most ` right-thinking ' films,Positive
we had to endure last summer,Negative
Mostly Martha is mostly unsurprising,Negative
"And if you appreciate the one-sided theme to Lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .",Negative
predecessors,Positive
sensational true-crime,Positive
a renowned Indian film culture that allows Americans to finally revel in its splendor,Positive
empty theatres,Negative
does so many of the little things right,Positive
of aborted attempts,Negative
clever,Positive
"we had to endure last summer , and",Negative
seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested,Negative
even delectable,Positive
's everything you 'd expect -- but nothing more .,Negative
on the number of tumbleweeds blowing through the empty theatres,Negative
"More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet",Positive
of which mainstream audiences have rarely seen,Positive
A difficult but worthy film that bites off more than it can chew by linking the massacre of Armenians in 1915 with some difficult relationships in the present,Positive
the modern rut,Negative
life-changing chance encounters,Positive
than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises,Negative
"Poor editing ,",Negative
of nearly epic proportions,Positive
"Violent , vulgar and forgettably entertaining .",Negative
is a superior horror flick .,Positive
stale and uninspired .,Negative
most thoughtful films,Positive
over-indulgent tirade,Negative
amazing,Positive
utterly incompetent conclusion,Negative
narrative filmmaking with a visually masterful work of quiet power,Positive
"it 's a dark , gritty story but",Positive
toxic,Negative
intoxicating,Positive
may be ploughing the same furrow once too often,Negative
"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny",Negative
"then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .",Positive
revelatory and narcissistic,Negative
morality tale,Positive
While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles,Positive
corny,Negative
About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .,Positive
"Swimfan , like Fatal Attraction",Positive
"is a brilliantly played , deeply unsettling experience .",Positive
shows us a slice of life that 's very different from our own and yet instantly recognizable,Positive
the highest production values,Positive
it wears out its welcome as tryingly as the title character .,Negative
Mark Pellington 's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth .,Positive
"relic from a bygone era , and its convolutions ...",Negative
Mediocre movies,Negative
no,Negative
I 'm just about ready to go to the U.N. and ask permission for a preemptive strike,Negative
occasionally horrifying but often inspiring,Positive
lack any intrigue -LRB- other than their funny accents -RRB-,Negative
"'s more enjoyable than I expected ,",Positive
"has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made",Positive
garner the film a `` cooler '' PG-13 rating,Positive
force you to scratch a hole in your head,Negative
Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .,Positive
achieving some honest insight,Positive
cliched dialogue and perverse escapism,Negative
precious circumstances,Positive
with a series of riveting set pieces,Positive
Charming and funny -LRB- but ultimately silly -RRB- movie,Positive
apart from reporting on the number of tumbleweeds blowing through the empty theatres,Negative
wears out its welcome as tryingly as the title character .,Negative
gem,Positive
offers flickering reminders of the ties that bind us,Positive
the Mood,Positive
"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",Positive
preposterous,Negative
miss,Negative
joyous films that leaps over national boundaries and celebrates universal human nature,Positive
the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama,Positive
unless one considers cliched dialogue and perverse escapism a source of high hilarity,Negative
"'m sure the filmmaker would disagree , but , honestly , I do n't see the point",Negative
"A chronicle not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department .",Positive
"A smart , provocative drama that does the nearly impossible :",Positive
celebrated,Positive
Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,Negative
an overexposed waste of film,Negative
Americans,Positive
into a gorgeously atmospheric meditation on life-changing chance encounters,Positive
triumph,Positive
thoughtful and,Positive
Beating the Austin Powers films,Positive
"this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .",Positive
laugh,Positive
professional,Positive
conventional thriller,Positive
fused with solid performances and eerie atmosphere,Positive
", resonant gem",Positive
forgettably,Negative
's most weirdly engaging and unpredictable character pieces,Positive
A comedy-drama of nearly epic proportions,Positive
"It feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs .",Negative
few will find the movie,Negative
It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .,Positive
the sensational true-crime,Positive
"a lot of running around , screaming and death",Negative
it 's this rich and luscious,Positive
us a slice of life that 's very different from our own and yet instantly recognizable,Positive
likes of which mainstream audiences have rarely seen,Positive
An uplifting,Positive
war,Negative
Run for your lives,Negative
freshness,Positive
"In IMAX in short , it 's just as wonderful on the big screen .",Positive
Do n't judge this one too soon,Positive
Bloody,Negative
the grieving process,Negative
transcends the boy-meets-girl posturing of typical love stories,Positive
so intimate and sensual and funny and psychologically self-revealing,Positive
ready to go to the U.N. and ask permission for a preemptive strike,Negative
outnumber the hits by three-to-one .,Negative
appropriate,Positive
"fascinating , compelling story",Positive
The increasingly diverse French director,Positive
"it 's still a sweet , even delectable diversion .",Positive
the best war movies ever made,Positive
provocative,Positive
pretty,Positive
is worth seeing,Positive
a great deal,Positive
"It 's more enjoyable than I expected , though",Positive
with pointless extremes,Negative
"Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema",Positive
is to frighten and disturb,Negative
pay to see it,Positive
gets a bit heavy handed with his message at times,Negative
failing,Negative
A difficult but worthy film that bites off more than it can chew by linking the massacre of Armenians,Positive
of high hilarity,Positive
"recommended viewing for its courage , ideas , technical proficiency and great acting",Positive
engaging,Positive
without lectures or confrontations,Positive
Spielberg 's realization of a near-future America is masterful .,Positive
will leave you wondering about the characters ' lives after the clever credits roll,Positive
Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,Negative
the kind of ` laugh therapy ',Positive
A shiver-inducing,Positive
inspires,Positive
recognized,Positive
a romantic comedy,Positive
that miss,Negative
mildly enjoyable if,Positive
The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic,Negative
"that not only fails on its own , but makes you second-guess your affection for the original",Negative
"works spectacularly well ... A shiver-inducing , nerve-rattling ride",Positive
disturb,Negative
Changing Lanes tries for more .,Positive
wills that is impossible to care about and is n't very funny,Negative
mystical,Positive
devolves,Negative
carries us effortlessly from darkness,Positive
"is -RRB- the comedy equivalent of Saddam Hussein , and",Negative
of riveting set pieces,Positive
Robinson 's web of suspense matches the page-turning frenzy that Clancy creates .,Positive
The movie 's heavy-handed screenplay,Negative
Too clumsy in key moments ... to make a big splash .,Negative
"Perhaps it 's cliche to call the film ` refreshing , ' but",Positive
for a summer of good stuff,Positive
deeply unsettling,Negative
"not only fails on its own , but makes you second-guess your affection for the original",Negative
", then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .",Positive
an absolute joy,Positive
threatens,Negative
that aims for poetry and ends up sounding like satire,Negative
perfect,Positive
of a film that are still looking for a common through-line,Negative
pinnacle,Positive
powerful,Positive
's like going to a house party and watching the host defend himself against a frothing ex-girlfriend,Negative
Robert Harmon 's less-is-more approach delivers real bump-in - the-night chills,Positive
the movie is a silly -LRB- but not sophomoric -RRB- romp through horror and hellish conditions .,Positive
dramatic things happen to people,Negative
"The filmmakers want nothing else than to show us a good time , and in their cheap , B movie way , they succeed",Positive
Has the rare capability to soothe and break your heart with a single stroke .,Positive
I suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD .,Negative
laughs,Positive
like no other film in recent history,Positive
upscale,Positive
"is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner -LRB- and ultimately the victim -RRB- of history .",Positive
not,Negative
Well-done supernatural thriller,Positive
old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion,Positive
"is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes",Positive
an amusing little catch,Positive
Robinson 's web of suspense,Positive
one-sided theme,Negative
's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion,Positive
fall to pieces,Negative
lacks the quick emotional connections of Steven Spielberg 's Schindler 's List,Negative
"Thanks largely to Williams , all the interesting developments are processed in 60 minutes",Positive
of intellectual lector in contemplation of the auteur 's professional injuries,Positive
entertaining itself,Positive
Parents beware ;,Positive
relays its universal points without lectures or confrontations,Positive
is simply tired,Negative
of hopeful,Positive
's this rich and luscious,Positive
"'s more enjoyable than I expected , though",Positive
"While maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .",Positive
of particular value or merit,Positive
superior horror flick,Positive
"... is a brilliantly played , deeply unsettling experience .",Positive
bottom,Negative
Mediocre movies start to drag as soon as the action speeds up,Negative
that writer and director Burr Steers knows the territory,Positive
"It 's not a particularly good film , but",Negative
"a tenacious , humane fighter who was also the prisoner -LRB- and ultimately the victim -RRB- of history",Positive
might inadvertently evoke memories and emotions which are anything but,Negative
Witty and,Positive
that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own,Positive
