Phrase,Sentiment
's an excellent 90-minute film here,4
"the wit , humor and snappy dialogue",4
is well,3
a remarkable amount,3
are in tatters,1
cheered at just that,3
Uneven,1
allows a gawky actor like Spall -- who could too easily become comic relief in any other film --,3
"It has a caffeinated , sloppy brilliance , sparkling with ideas you wish had been developed with more care , but animated by an energy that puts the dutiful efforts of more disciplined grade-grubbers to shame .",3
to the gorgeous locales and exceptional lead performances,3
Being Earnest,2
ignore,1
feel-good family comedy,4
"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story",2
ultimately the victim -RRB-,2
"It 's a beautiful film , full of elaborate and twisted characters - and",4
we care about the story,4
also nicely done,3
enough cool,3
rather than,2
's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,3
recommended,4
The art direction is often exquisite,4
"Sy , another of his open-faced , smiling madmen ,",3
a magnetic performance,4
respective charms,3
greatly impressed by the skill of the actors involved in the enterprise,4
phrase ` fatal script error,1
convincing case,3
The concert footage is stirring,3
animation work,3
"touching , small-scale story",3
The narrative,2
"charming the masses with star power , a pop-induced score and sentimental moments",3
every bit as filling as the treat of the title,4
"Real Women may have many agendas , but it also will win you over , in a big way",4
"balance pointed , often incisive satire and unabashed sweetness",3
Interminably,3
a pulp in his Dangerous Game,2
A dreadful day in Irish history,1
` laugh therapy ',3
satisfy the boom-bam crowd,3
"heartfelt , mesmerizing King Lear",4
carries us effortlessly from darkness,3
is handsome,3
contemporary,3
what is really an amusing concept,3
smart movie,3
it 's a conundrum not worth solving .,0
"coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie",1
a true and historically significant story,4
obsessive love,3
bad it does n't improve upon the experience of staring at a blank screen,1
", Godfrey Reggio 's career shines like a lonely beacon .",4
are things to like about Murder By Numbers,3
is just a corny examination of a young actress trying to find her way,1
", smart , savvy , compelling",4
despite the gratuitous cinematic distractions impressed upon it,2
terrific performance,4
has never been filmed more irresistibly than in ` Baran . ',3
in the reassuring manner of a beautifully sung holiday carol,3
best movie work,4
gushing -- Imamura squirts the screen in ` Warm Water Under a Red Bridge ',3
An enjoyable above average summer diversion .,3
"Leguizamo 's best movie work so far , a subtle and richly internalized performance",4
lovefest,3
never plays as dramatic even when dramatic things happen to people .,0
is greatness,4
brilliant and,4
is a rare treat that shows the promise of digital filmmaking .,4
need more X and less blab .,1
ready,2
Astonishing ... -LRB- frames -RRB- profound ethical and philosophical questions in the form of dazzling pop entertainment .,4
"Like most of Jaglom 's films , some of it is honestly affecting , but",3
too burdened by the actor,1
'd probably turn it off,1
movements,2
"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",1
"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",3
impressive roster,4
Rob Schneider actually turns in a pretty convincing performance as a prissy teenage girl,3
I loved this film .,4
has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances .,4
"oftentimes funny ,",4
offbeat sensibilities,3
"While it may not add up to the sum of its parts , Holofcener 's film offers just enough insight to keep it from being simpleminded , and the ensemble cast is engaging enough to keep you from shifting in your chair too often .",3
Insomnia is one of the year 's best films,4
the film works - mostly due to its superior cast of characters .,3
with the best of Herzog 's works,4
This often-hilarious farce,3
To say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor .,0
what 's going on here,1
"There are cheesy backdrops , ridiculous action sequences , and many tired jokes about men in heels .",0
"set in a remote African empire before cell phones , guns , and the internal combustion engine",3
The film has -LRB- its -RRB- moments,3
the big screen,2
seems fresh and vital,4
rich performances,4
acknowledges the silent screams of workaday inertia but stops short of indulging its characters ' striving solipsism,3
wise,3
are masterfully controlled .,4
It 's as raw and action-packed an experience as a ringside seat at a tough-man contest .,4
uniformly superb,4
"is a light , fun cheese puff of a movie .",4
real masterpiece,4
"rude , scarily funny , sorrowfully sympathetic to the damage it surveys",3
", told well by a master storyteller",3
"in the power of the Huston performance , which seems so larger than life and yet so fragile",3
There 's not a comedic moment in this romantic comedy .,0
for a routine slasher film that was probably more fun to make than it is to sit through,1
"Inventive ,",3
"filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability",3
as tryingly as the title,1
"This misty-eyed Southern nostalgia piece , in treading the line between sappy and sanguine ,",3
"repellent to fully endear itself to American art house audiences , but",3
"This is popcorn movie fun with equal doses of action , cheese , ham and cheek -LRB- as well as a serious debt to The Road Warrior -RRB- , but",3
Gives an intriguing twist to the French coming-of-age genre,3
the sweetness,3
"A quaint , romanticized rendering",4
Definitely funny stuff,4
computer-generated feature cartoon,2
"van der Groen , described as ` Belgium 's national treasure ,",3
Astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .,4
", poignant picture",3
a love song to the movies,3
very good viewing alternative,3
memorable,4
"Triple X is a double agent , and he 's one bad dude",3
viewer,2
too clever,3
Eric Schaeffer has accomplished with Never Again,3
"Kirshner wins , but it 's close . -RRB-",3
Sarah and Harrison,2
society in place,2
one of world cinema 's most wondrously gifted artists,4
in this marvelous film,4
a recycled and dumbed-down version of Love Story,0
"a smartly directed , grown-up film of ideas",4
self-indulgent script,2
another smash,4
's insanely violent and very graphic,1
should give `` Scratch '' a second look,3
"When twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if Argento 's Hollywood counterparts ... had this much imagination and nerve",3
"inspiring ,",4
suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD .,2
the film has in Kieran Culkin a pitch-perfect Holden .,3
best actor,3
professional,3
fiercely clever and subtle film,4
Alfred Hitchcock 's,3
will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ? '',0
"knows everything and answers all questions ,",3
zips along with B-movie verve while adding the rich details and go-for-broke acting that heralds something special,4
Clever and unflinching,4
scummy,1
a bygone era,2
Mary,2
is uniformly superb,4
cliched dialogue and perverse escapism a source of high hilarity,1
Another trumpet blast that there may be a New Mexican Cinema a-bornin ' . ',3
gentle longing,3
"A solid , spooky entertainment",4
"The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react",3
of self-discovery handled with such sensitivity,3
"gentle , lapping rhythms",3
borders on rough-trade homo-eroticism,3
Hartley,2
achieve,3
so pat it makes your teeth hurt,1
with Windtalkers,2
subtlety and warmth,3
cinematographer,2
"in the unhurried , low-key style",3
"Sadly , ` Garth ' has n't progressed as nicely as ` Wayne . '",1
an intriguing story of maternal instincts and misguided acts of affection,4
of ` laugh therapy ',3
is visually smart,3
the whole enterprise,3
"Stanley Kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe .",4
filmmakers,2
the Vertical Limit of surfing movies -,3
sends you away a believer again and quite cheered at just that .,3
spectacularly well,4
"to the core of what it actually means to face your fears , to be a girl in a world of boys",3
"The film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are worth the price of admission ... if `` gory mayhem '' is your idea of a good time",3
it 's really well directed,4
complexity,3
series,2
"three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations",4
Godfrey Reggio 's career shines like a lonely beacon .,3
one of the few ` cool ' actors who never seems aware of his own coolness,3
This movie may not have the highest production values you 've ever seen,1
", the movie looks genuinely pretty .",3
"its courage , ideas",3
open new wounds,2
good for a laugh,3
The large-format film is well suited to capture these musicians in full regalia and the incredible IMAX sound system lets you feel the beat down to your toes,4
Aggressive,2
in 60 minutes,2
totally,2
continues to improve .,3
the pool with an utterly incompetent conclusion,0
"X-Men - occasionally brilliant but mostly average ,",3
are believable as people,3
entertaining and suggestive,4
a frothing ex-girlfriend,2
"winning , heartwarming yarn",4
Kieran Culkin a pitch-perfect Holden,3
very little,2
He has a great cast and a great idea .,4
Poignant and,3
should drop everything and run to Ichi .,3
"When all is said and done , she loves them to pieces -- and so , I trust",3
almost every relationship and personality in the film yields surprises .,3
a really funny movie,4
"of the celebrated Irish playwright , poet and drinker",2
"It 's a beautiful film , full of elaborate and twisted characters",4
well-produced,4
A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place,0
limited but enthusiastic,3
drowns in sap .,0
Just about everyone involved here,2
is astonishing .,3
close to losing my lunch,0
acting,2
"As home movie gone haywire , it 's pretty enjoyable ,",3
very good,3
Jane Wyman and,3
"A modestly comic , modestly action-oriented World War II adventure that ,",3
of one man 's quest to be president,3
about otherwise dull subjects,1
as a chance to revitalize what is and always has been remarkable about clung-to traditions,3
Thanks largely,3
's no denying that Burns is a filmmaker with a bright future ahead of him,4
"having much that is fresh to say about growing up Catholic or , really , anything",3
"of ethnography and all the intrigue , betrayal , deceit and murder",2
extravagant chance can distort our perspective and throw us off the path of good sense,2
fresh,4
"who love Cinema Paradiso will find the new scenes interesting , but few will find the movie",3
"be funny , uplifting and moving , sometimes",3
off-putting romantic comedy .,1
An edifying glimpse into the wit and revolutionary spirit of these performers and their era,3
chooses to champion his ultimately losing cause,2
gives his heart,3
love the film,4
The emotion is impressively true for being so hot-blooded,3
it certainly does n't feel like a film that strays past the two and a half mark,3
and curiosity factors,2
escapades,2
check it out,4
a brief amount of time,3
a surge through swirling rapids or a leap from pinnacle to pinnacle,2
"'re as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you",3
"covers just about every cliche in the compendium about crass , jaded movie types and the phony baloney movie biz .",0
please his mom,2
"Rock solid family fun out of the gates ,",4
penetrating,3
goes,2
"When twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if Argento 's Hollywood counterparts ... had this much imagination and nerve .",3
it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is,4
sumptuous ocean visuals and the cinematic stylings of director John Stockwell,3
gently,2
You can take the grandkids or the grandparents and never worry about anyone being bored ... audience is a sea of constant smiles and frequent laughter .,4
", poet and drinker",2
marked an emerging Indian American cinema,3
"For almost the first two-thirds of Martin Scorsese 's 168-minute Gangs of New York , I was entranced .",3
"It 's a rollicking adventure for you and all your mateys , regardless of their ages .",4
transforms its wearer,3
fun,4
Once the expectation of laughter has been quashed by whatever obscenity is at hand,1
"we have a bad , bad , bad movie",0
bears out as your typical junkie opera,0
"She 's all-powerful , a voice for a pop-cyber culture that feeds on her Bjorkness .",3
frothing ex-girlfriend,2
considerable dash,2
"Natalie Babbitt 's gentle , endearing 1975 children 's novel",3
the edge,3
"suspense , intriguing characters and bizarre bank robberies",3
above,2
endure last summer,2
live-wire,3
"Catholic or , really ,",2
enjoyable family fare,4
ferocity and thoughtfulness,3
terror,1
", albeit a visually compelling one ,",3
with bloody beauty as vivid,3
a canny crowd pleaser,4
"you 'll have an idea of the film 's creepy , scary effectiveness .",3
remarkably accessible and haunting film,4
surprisingly romantic,3
the Gallic ` tradition of quality,3
"The sight of the spaceship on the launching pad is duly impressive in IMAX dimensions , as are shots of the astronauts floating in their cabins .",3
"Much credit must be given to the water-camera operating team of Don King , Sonny Miller , and Michael Stewart .",3
an intelligent person,3
flickering reminders of the ties,2
high standards,3
the film is not only a love song to the movies but,3
a domestic unit finding their way to joy,3
"all your mateys ,",3
brings out the allegory with remarkable skill,4
One of the best looking and stylish animated movies in quite a while ...,4
sophisticated intrigue and human-scale characters,3
heartwarming without stooping to gooeyness,4
respectable sequel,3
Visually captivating .,4
following your dream,3
Stanley Kwan has directed not only one of the best gay love stories ever made,4
's difficult not to cuss him out severely for bungling the big stuff,1
especially compelling,3
` This movie sucks . ',0
airless cinematic shell games,2
proportions,2
"to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers",1
to keep our interest,3
"'s a lovely , sad dance highlighted by Kwan 's unique directing style",3
it just zings along with vibrance and warmth .,4
a standard-issue crime drama spat out from the Tinseltown assembly line .,3
"however , it 's invaluable",3
top shelf,3
parapsychological phenomena and the soulful nuances,3
It is also beautifully acted .,4
"The leads are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer 's secondhand material .",0
hews out a world and,2
adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking,4
best kind,4
fascinate in their recklessness,3
thanks to the gorgeous locales and exceptional lead performances,3
A zinger-filled crowd-pleaser that open-minded Elvis fans -LRB- but by no means all -RRB- will have fun with .,4
opportunities for occasional smiles,2
"that begins as a Seven rip-off , only to switch to a mix of The Shining , The Thing , and any naked teenagers horror flick from the 1980s",3
is extraordinary,4
well-defined,3
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light,3
of the greatest plays of the last 100 years,4
the parade,3
"Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema",3
"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter",0
historically significant work,4
"its courage ,",3
seeing justice served,3
"-LRB- Shyamalan -RRB- turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count .",3
back,2
young and fit,2
"Collateral Damage is trash , but it earns extra points by acting as if it were n't .",0
"that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails",4
Interminably bleak,0
"it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen .",4
is a work of outstanding originality,4
"the filmmaker would disagree , but , honestly , I do n't see the point",1
flick,2
heady jumble,1
his usual bad boy weirdo role,2
"to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment",4
It gets the details of its time frame right,3
take us by surprise ...,3
has some special qualities and the soulful gravity of Crudup 's anchoring performance,3
"An example of quiet , confident craftsmanship that tells a sweet , charming tale of intergalactic friendship",3
Red Dragon rates as an exceptional thriller .,4
be put to sleep or bewildered by the artsy and often pointless visuals,0
abhorrent to you,1
create an engaging story that keeps you guessing at almost every turn,4
filmmaker,2
that in the nicest possible way,3
cutting-edge,4
the idea of narrative logic or cohesion is an entirely foreign concept,1
enhances the excellent performances,4
art,2
", bad , bad movie",0
complaining when a film clocks in around 90 minutes these days,3
helluva singer,3
young and old alike to go see this unique and entertaining twist on the classic whale 's tale,4
achieved,3
"finely crafted , finely written ,",4
their own cleverness,3
's also undeniably exceedingly clever,3
thrillers actually thrilled,3
above the ordinary,3
ultimately delivers,3
provides a satisfyingly unsettling ride into the dark places of our national psyche .,4
Rock solid family fun out of the gates,3
have fun,3
an amusing concept,3
unnamed,2
got to me,3
"Engages us in constant fits of laughter ,",4
funniest idea,4
"they are believable as people -- flawed , assured of the wrong things , and scared to admit how much they may really need the company of others",3
more emotional,3
A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ',1
prove more potent and riveting than the unlikely story of Sarah and Harrison,4
", it has a genuine dramatic impact",3
willingness,2
delivers a magnetic performance,4
love the opening scenes of a wintry New York City in 1899,3
", Big Trouble could be considered a funny little film .",3
appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0
Waking,2
of pure craft and passionate heart,4
"more confused , less interesting and more",0
the ultimate movie experience,4
"A colorful , vibrant introduction to a universal human impulse , lushly photographed and beautifully recorded .",4
alone could force you to scratch a hole in your head .,1
furiously,1
ranks with the best of Herzog 's works,4
utterly transcend gender,3
created a brilliant motion picture,4
of heart and unsettling subject matter,3
hell,0
amiable but unfocused,1
recycled and dumbed-down version,1
"an impeccable pedigree , mongrel pep , and almost indecipherable plot complications",1
diverse,3
the same love story,1
"the film 's crisp , unaffected style",3
"openness ,",3
"'re ready to hate one character , or really sympathize with another character",3
The band performances featured in Drumline are red hot,3
"intoxicatingly sexy , violent , self-indulgent and maddening",3
Science Theater 3000 guys,2
", despite the gratuitous cinematic distractions impressed upon it , is still good fun .",3
An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time,3
the capable cast,3
a point of view,2
In Praise of Love ' is the director 's epitaph for himself,3
"Hampered -- no , paralyzed -- by a self-indulgent script",1
accumulated enjoyment,3
Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .,4
inter-species,3
could rent the original and get the same love story and parable,1
"its shape-shifting perils , political intrigue",3
"is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",4
"one of Mr. Chabrol 's subtlest works ,",3
also dealt with British children rediscovering the power of fantasy during wartime,3
The sword fighting is well done and,4
misses,1
embarrassingly,1
the best advice,3
that clearly means to,2
a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair,4
graced with its company,2
done a fine job of updating White 's dry wit to a new age,4
richly,3
"no , paralyzed",1
they fall to pieces,1
"doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights",4
most magical,4
effecting change,3
"improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor",4
carries it far above,4
"Good actors have a radar for juicy roles -- there 's a plethora of characters in this picture , and not one of them is flat",4
oozes craft .,3
Tartakovsky 's team has some freakish powers of visual charm,3
beautifully choreographed kitchen ballet,4
relatively lightweight commercial fare such as Notting Hill to commercial fare with real thematic heft .,3
"In fact , it does n't even seem like she tried .",0
stylized with a touch of John Woo bullet ballet .,3
the characters ' lives,2
"A quaint ,",3
literate material,3
a purpose and a strong pulse,3
address his own World War II experience in his signature style,4
An enjoyable above average summer diversion,3
arrive early and stay late,3
make for one splendidly cast pair,3
which amounts to much of a story,2
"it 's the work of an artist , one whose view of America , history and the awkwardness of human life is generous and deep",4
"unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints",3
"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic",4
wondering about the characters ' lives,2
losing my lunch,0
a warmth,3
a terrific performance,4
sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip,4
a war-ravaged land that prove more potent and riveting than the unlikely story of Sarah and Harrison,2
by storm,3
"A strong script , powerful direction and splendid production design",3
and communicates something,3
breaking codes,3
"Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor",3
underestimated,3
Like a less dizzily gorgeous companion to Mr.,3
a potentially incredibly twisting mystery,4
", the diva shrewdly surrounds herself with a company of strictly A-list players .",3
Ver Wiel 's desperate attempt at wit,0
is top shelf,3
boilerplate,2
glorious,4
disappointingly thin slice,1
sneaky feel,2
great movie,4
it integrates thoughtfulness and pasta-fagioli comedy,3
seamless,3
the number,2
storytelling,2
-LRB- Allen 's -RRB- best works understand why snobbery is a better satiric target than middle-America diversions could ever be .,3
"The film is enriched by an imaginatively mixed cast of antic spirits , headed by Christopher Plummer as the subtlest and most complexly evil Uncle Ralph I 've ever seen in the many film and stage adaptations of the work .",4
An annoying orgy of excess and exploitation that has no point and goes nowhere .,0
"if you appreciate the one-sided theme to Lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .",1
powerful and moving without stooping to base melodrama,3
ultimately losing cause,1
a rare treat that shows the promise of digital filmmaking,3
", it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .",2
blown up to the size of a house,3
"includes the line ` My stepdad 's not mean , he 's just adjusting '",3
that leaps over national boundaries and celebrates universal human nature,4
"in the way that makes you ache with sadness -LRB- the way Chekhov is funny -RRB- , profound without ever being self-important , warm without ever succumbing to sentimentality",3
that successfully recreates both the physical setting and emotional tensions of the Papin sisters,3
as well as,2
as if we 're seeing something purer than the real thing,4
end,2
fascinating character 's,3
A compelling allegory about the last days of Germany 's democratic Weimar Republic .,3
amusing us,3
've had the misfortune to watch in quite some time,1
"powerful , naturally dramatic",3
", riveting and handsomely",3
ecstasy,3
the director 's,3
with all the mounting tension of an expert thriller,3
"the past year , which means that Birthday Girl is the kind of quirkily appealing minor movie she might not make for a while",3
killer,1
the outstanding thrillers of recent years,4
to Mr.,2
power,2
a remarkable amount of material in the film 's short 90 minutes,3
profound ethical and philosophical questions in the form of dazzling pop entertainment,4
a dungpile,1
have been worth cheering as a breakthrough but,3
aborted,2
shine,4
A funny and well-contructed black comedy,4
the heroes,2
what passes for sex in the movies look like cheap hysterics,1
"A time machine , a journey back to your childhood , when cares melted away in the dark theater ,",4
viewed and treasured,3
feel compelled to watch the film twice or pick up a book on the subject,3
zinger-filled,3
honest,4
a surprising winner,4
brilliance,3
burn the negative and the script and,0
enjoy The New Guy .,3
supremely,3
status,3
the kind,2
the film was better than Saving Private Ryan,4
provocative drama,4
"the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers",3
", the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes .",4
there 's an enthusiastic charm in Fire that makes the formula fresh again,4
A superfluous sequel,0
just zings along with vibrance and warmth .,4
"Volletta Wallace 's maternal fury , her fearlessness",3
been replaced by the bottom of the barrel,0
transcends the boy-meets-girl posturing of typical love stories .,3
though,2
"enough intelligence , wit or innovation on the screen to attract and sustain an older crowd",4
's really well directed,4
worthwhile,3
Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,0
first-time director Denzel Washington and a top-notch cast,4
"a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense",3
something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3
wondering about the characters ' lives after the clever credits roll,3
"Keenly observed and refreshingly natural , Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .",3
camera,2
more chillingly effective,3
's certainly laudable that the movie deals with hot-button issues in a comedic context,3
also has humor and heart and very talented young actors,3
", so who knew Charles Dickens could be so light-hearted ?",3
passive-aggressive psychology,3
Mariah Carey gives us another peek at some of the magic we saw in Glitter here in Wisegirls .,3
In the end there is one word that best describes this film : honest .,3
ludicrous,0
something special,4
"The best didacticism is one carried by a strong sense of humanism , and Bertrand Tavernier 's oft-brilliant Safe Conduct -LRB- `` Laissez-passer '' -RRB- wears its heart on its sleeve",4
given its Labor Day weekend upload,3
DeMeo is not without talent,3
Analyze That,2
", point and purpose",3
far more stylish,3
having,2
... a powerful sequel and one of the best films of the year .,4
Report,2
"an epic , but also",3
piffle,1
starting with Spielberg and going right through the ranks of the players -- on-camera and off -- that he brings together,3
star-power potential in this remarkable and memorable film,4
his passion,3
"Welles groupie\/scholar Peter Bogdanovich took a long time to do it , but he 's finally provided his own broadside at publishing giant William Randolph Hearst",3
extraordinarily,4
Much of what we see is horrible but it 's also undeniably exceedingly clever .,3
"sharp comedy , old-fashioned monster movie atmospherics , and genuine heart",4
satisfy,4
they do n't fit well together and neither is well told .,1
an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the American underground,4
"is great material for a film -- rowdy , brawny and lyrical in the best Irish sense",4
never dull,3
funny and human and,3
"as before , from the incongruous but chemically perfect teaming of Crystal and De Niro",4
bothered to construct a real story this time,3
"itself is far from disappointing , offering an original",3
classic mother\/daughter struggle,3
"all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights",3
dynamic,3
"no doubt , it 's the worst movie I 've seen this summer",0
"watch , giggle",3
"Ice Age is the first computer-generated feature cartoon to feel like other movies , and",3
It 's a great American adventure and a wonderful film to bring to IMAX .,4
in,2
Fails so fundamentally on every conventional level that it achieves some kind of goofy grandeur .,1
monster,2
preserves Tosca 's intoxicating ardor through his use of the camera .,3
got to admire ... the intensity with which he 's willing to express his convictions,4
it is spooky and subtly in love with myth,3
damned compelling,4
raises some worthwhile themes while delivering a wholesome fantasy for kids,4
consistently funny .,4
makes for some glacial pacing,1
from grace that still leaves shockwaves,3
bubbles with the excitement of the festival in Cannes,3
hilarious place to visit,3
"like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",1
"takes full , chilling advantage of its rough-around-the-edges , low-budget constraints",3
"A thriller whose style , structure and rhythms are so integrated with the story , you can not separate them .",3
", wit and warmth than should be expected from any movie with a `` 2 '' at the end of its title .",3
Oedekerk 's realization of his childhood dream,2
but nothing,2
straight-shooting family film,3
So could young romantics out on a date .,3
created a monster,1
"as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators",3
safe as to often play like a milquetoast movie of the week blown up for the big screen,1
could force you to scratch a hole in your head .,0
impeccable,4
"had the ability to mesmerize , astonish and entertain",4
Is n't as sharp as the original,1
clever and unexpected,4
his greatest triumph,4
"intelligent , and humanly funny film",4
often surprising,3
beautiful film,4
suited to capture these musicians in full regalia,3
coming-of-age drama,3
of a story,2
aims,2
even Jean-Claude Van Damme look good,3
overplayed and exaggerated,0
is a deliberately unsteady mixture of stylistic elements,3
most resonant film since The Killer,4
"also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes",4
give a spark,3
French,2
delight,4
"A stirring tribute to the bravery and dedication of the world 's reporters who willingly walk into the nightmare of war not only to record the events for posterity , but to help us clearly see the world of our making .",4
"historically significant ,",4
very good time,4
