Phrase,Sentiment
Huppert 's volatile performance makes for a riveting movie experience,4
with his picture-perfect life,3
in gorgeous visuals,4
"They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",1
key,2
"oftentimes funny , yet",3
exceedingly clever,4
moral,2
"a squirm-inducing fish-out-of-water formula that goes nowhere and goes there very , very slowly",0
who paid for it,2
"a nomination for a best-foreign-film Oscar : Make a movie about whimsical folk who learn a nonchallenging , life-affirming lesson while walking around a foreign city with stunning architecture",3
tries to touch on spousal abuse,3
amiable but,3
the Holocaust escape story,3
sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions,3
provides a satisfyingly unsettling ride,3
"well done , but slow",3
"A smart , provocative drama that does the nearly impossible :",4
though he only scratches the surface,1
its Labor Day weekend upload,3
"-LRB- I -RRB- t 's certainly laudable that the movie deals with hot-button issues in a comedic context ,",3
possesses its own languorous charm .,3
intellectual and emotional pedigree,3
expect -- but nothing,2
lucks,3
that are still looking for a common through-line,2
another smash,4
told well by a master storyteller,3
"the cultural and economic subtext , bringing richer meaning to the story 's morals",3
At once emotional and richly analytical,4
"a nice , light treat",3
Although commentary on Nachtwey is provided ... it 's the image that really tells the tale .,3
unabashed sweetness,3
helps keep the proceedings as funny for grown-ups as for rugrats,4
its predecessors,2
kicks into gear,3
a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . ',1
achieving some honest insight into relationships,3
"unfolds with all the mounting tension of an expert thriller ,",4
"proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations .",0
is as consistently engaging as it is revealing,4
acknowledges the silent screams of workaday inertia but,3
he 's been responsible for putting together any movies of particular value or merit,1
", this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .",4
Crystal and De Niro -RRB-,3
far too much for our taste,1
` right-thinking ' films,2
quietly moving moments and an intelligent subtlety,3
the remarkable ensemble cast,4
inside the wave,3
genial and,3
escape,3
"Using a stock plot , About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .",3
most immediate and most obvious pleasure,3
takes a sudden turn and devolves,1
shock and curiosity factors,2
also is n't embarrassed to make you reach for the tissues,3
said the film was better than Saving Private Ryan .,4
liked the movie,3
I,2
"amused and entertained by the unfolding of Bielinsky 's cleverly constructed scenario , and greatly impressed by the skill of the actors involved in the enterprise",4
bilked unsuspecting moviegoers,1
"deserves , at the very least ,",3
the man who bilked unsuspecting moviegoers,1
's get this thing over with,1
"I thought the relationships were wonderful , the comedy was funny ,",4
offensive and nothing at all like real life,0
"a smart , solid , kinetically-charged spy flick worthy",4
in the series,3
thoroughly enjoyed the love story,4
"vile , incoherent mess",0
"An elegant work , Food of Love",4
strong themes of familial ties and,3
", naturally dramatic",3
It 's a spectacular performance - ahem,3
interesting,3
"The jokes are flat ,",0
leaves you wanting more,3
An edgy thriller,4
's going on here,2
night out,3
critic-proof,4
a day at the beach -- with air conditioning and popcorn,3
A dreadful day in Irish history,1
damned,1
have emerged as hilarious lunacy in the hands of Woody Allen,3
", then Triple X marks the spot .",3
"The screenplay by James Eric , James Horton and director Peter O'Fallon ... is so pat it makes your teeth hurt .",1
"Even as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators",3
"It may scream low budget , but this charmer has a spirit that can not be denied .",3
Science,2
helps make the film 's conclusion powerful and satisfying,4
"that is fresh to say about growing up Catholic or , really , anything",2
rainbow,2
ask permission,2
even his lesser works outshine the best some directors,4
incredible,3
stunning animation,4
subtlety and warmth,3
suppose it 's lovely that Cal works out his issues with his dad and comes to terms with his picture-perfect life,3
"As David Letterman and The Onion have proven , the worst of tragedies can be fertile sources of humor ,",3
made the first one charming,3
that hold society in place,2
expect -- but nothing more,2
makes a depleted yesterday feel very much like a brand-new tomorrow,3
excruciating,0
that pours into every frame,3
veiling tension beneath otherwise tender movements,3
"Even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end ... you almost do n't notice the 129-minute running time .",4
transcendence,3
another,2
makes it seem,3
time,2
a nifty plot line in Steven Soderbergh 's Traffic,3
most gloriously unsubtle and adrenalized extreme,3
its hard to imagine having more fun watching a documentary ...,4
good guys and,3
Oddly compelling,3
A welcome relief from baseball movies that try too hard to be mythic,3
Shyamalan,2
murder,1
morbid,0
to The Road Warrior,3
Earnhart 's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones,3
"faster , livelier and a good deal funnier than his original",4
slick production values and director Roger Michell 's tick-tock pacing,3
"Sand 's masculine persona , with its love of life and beauty",3
loosely-connected string,1
he harvests a few movie moment gems,3
ambitious and,3
"A quaint , romanticized rendering",4
Danang,2
Sly Stallone,3
Features what is surely the funniest and most accurate depiction of writer 's block ever .,4
The huskies are beautiful,3
incisive and,3
thoughtful and surprisingly affecting,4
Any enjoyment,3
school swimming,2
", Home Movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face .",4
whole,2
"Unfolds as one of the most politically audacious films of recent decades from any country , but especially from France .",3
's inoffensive and actually rather sweet,3
"Watching this gentle , mesmerizing portrait of a man coming to terms with time",3
the gratuitous cinematic distractions impressed upon it,2
make you reach for the tissues,3
distinguished actor,4
's nothing wrong with that if the film is well-crafted and this one is,3
is n't that funny,1
it 's insanely violent and very graphic,3
sharp movie,3
's always fun to watch,3
"lack depth or complexity ,",0
"They works spectacularly well ... A shiver-inducing , nerve-rattling ride .",4
Monsoon Wedding,3
modestly,3
is the best Star Trek movie in a long time .,4
"is a subzero version of Monsters , Inc. , without the latter 's imagination ,",0
is fiercely intelligent and uncommonly ambitious .,4
domination and destruction,1
"quirky characters , odd situations , and",3
several old themes,1
is as kooky and overeager as it is spooky and subtly in love with myth .,2
sketch,2
taking it,2
Next Pretty Good Thing,3
"At its best , this is grand-scale moviemaking for a larger-than-life figure , an artist who has been awarded mythic status in contemporary culture .",4
heavy-handed,1
` true story ',3
what a thrill ride,4
Home Alabama,4
directs one of the best ensemble casts of the year,4
for a laugh,3
opera,2
Snow,2
"sharper , cleaner camera lens",3
A thoughtful and surprisingly affecting portrait,3
love and power,4
of those rare docs that paints a grand picture of an era and makes the journey feel like a party,4
"filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a Scrooge or two",3
wonderfully warm,4
nice little story,3
poignant,4
"Poor editing , bad bluescreen , and ultra-cheesy dialogue",0
the filmmaker 's characteristic style,3
successful one,3
more streamlined,3
A good music documentary,4
", it wears out its welcome as tryingly as the title character .",0
is an impressive achievement in spite of a river of sadness that pours into every frame,3
"This Chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .",4
cartoon 's,3
The latest,2
thoughtful what-if,3
impressive,4
"all-powerful ,",3
satisfying movie experience,3
will love this movie,4
is worth watching as it develops,4
uplifting and,3
that in a good way,3
This is the best Star Trek movie in a long time .,4
A real winner --,4
something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,3
"another of his open-faced , smiling madmen",3
tricky and satisfying,3
the finish line,3
immense IMAX screen,3
emotionally scattered film,1
-- and it is n't that funny .,1
to be a part of that elusive adult world,3
Shakespearean,2
one of world cinema 's most wondrously gifted artists,4
city,2
been able to share his story so compellingly with us is a minor miracle,3
well-wrought story,4
computer-generated,2
hollow at its emotional core,0
combines the enigmatic features of ` Memento ' with the hallucinatory drug culture of ` Requiem for a Dream .,4
A terrific date movie,4
ho-hum affair,1
"cradles its characters ,",2
S.C.,2
"If the material is slight and admittedly manipulative , Jacquot preserves Tosca 's intoxicating ardor through his use of the camera .",3
feels acting is the heart and soul of cinema,3
every cheap trick in the book trying to make the outrage,0
dazzling dream,3
a meaty plot and,3
carries us effortlessly from darkness to light,3
viewing for civics classes and would-be public servants alike,3
"A modestly comic , modestly action-oriented World War II adventure that , in terms of authenticity",3
"who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized",4
"Some movies suck you in despite their flaws , and Heaven is one such beast .",4
a Jerry Bruckheimer flick any day of the week,3
has a visual flair that waxes poetic far too much for our taste,1
"that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints",4
evocative and,3
`` Orange County '' is far funnier than it would seem to have any right to be .,4
preach,2
is still charming here .,3
A brilliant gag,3
very talented,3
", tortured",3
a vision,3
But they do n't fit well together and neither is well told .,1
"This filmed Tosca -- not the first , by the way -- is a pretty good job , if it 's filmed Tosca that you want .",3
There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up,0
the kind of production,2
the story and theme,3
in place,2
high-profile,3
squeeze the action and our emotions,3
"future-world holographic librarian -LRB- Orlando Jones -RRB- who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized",4
his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows,3
the gorgeous piano and,3
feel-good,3
with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub,1
pleasure or,3
"this Nicholas Nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly optimistic , coming through in the end",3
So vivid a portrait of a woman,3
"quiet , introspective and entertaining",3
also rocks .,4
Thanks,2
"Mostly works because of the universal themes , earnest performances ... and excellent use of music by India 's popular Gulzar and Jagjit Singh .",4
Saddam,2
it 's defiantly and delightfully against the grain .,4
of delightful hand shadows,3
be half as entertaining as it is,3
is a real charmer .,3
which means that Birthday Girl is the kind of quirkily appealing minor movie she might not make for a while,3
"But Kouyate elicits strong performances from his cast , and he delivers a powerful commentary on how governments lie , no matter who runs them .",3
looks fake,1
of some children who remain curious about each other against all odds,3
Woven together handsomely,3
"an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner -LRB- and ultimately the victim -RRB- of history",3
is bound to appreciate,3
a martial-arts flick,2
"Balk , who 's finally been given a part worthy of her considerable talents",3
"Return to Never Land is reliable , standard Disney animated fare , with enough creative energy and wit to entertain all ages .",4
Enticing and often funny documentary,4
All the actors are good in Pauline & Paulette but,3
the ideal casting,3
maintains suspense on different levels throughout a film that is both gripping and compelling,3
", monstrous lunatic",2
a nice little story in the process,3
beyond Wilde 's wit and the actors ' performances,2
novel charm,3
delight,4
"Wilco fans will have a great time ,",4
'm just,2
"enthusiastically invokes the percussion rhythm , the brass soul and the sense of fierce competition that helps make great marching bands half the fun of college football games",4
the director uses the last act to reel in the audience since its poignancy hooks us completely .,3
"Amid the new populist comedies that underscore the importance of family tradition and familial community , one would be hard-pressed to find a movie with a bigger , fatter heart than Barbershop .",4
years,2
storytelling,2
Execrable .,0
advantage,3
The real charm,3
keeps on going,2
Eerily accurate,3
its,2
A stirring road movie .,3
"single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department",3
"it has an ambition to say something about its subjects , but not a willingness .",2
that are powerful and moving without stooping to base melodrama,3
Starts out strongly,3
duds,1
"-LRB- Green is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike .",1
a huge amount of the credit for the film,4
imagination,3
good cinema,4
heartfelt story,4
Noyce brings out the allegory with remarkable skill,4
"comes in the power of the Huston performance , which seems so larger than life and yet so fragile",4
genial,3
"evanescent , seamless and sumptuous stream",3
bland,1
the greatest date movies in years,4
the wit,3
he has severe body odor,0
bigger and more ambitious than the first installment,3
winter landscapes,3
's also probably the most good-hearted yet sensual entertainment I 'm likely to see all year,4
fully endear itself to American art house audiences,3
an ambition to say something about its subjects,2
fine performance,3
is visually smart,3
achieves some kind of goofy grandeur,3
Offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a Hollywood film,4
quick emotional connections,2
freakish powers,2
"is worse : the poor acting by the ensemble cast , the flat dialogue by Vincent R. Nebrida or the gutless direction by Laurice Guillen",0
unusual music,3
In visual fertility Treasure Planet rivals the top Japanese animations of recent vintage .,3
the extraordinary technical accomplishments,4
satisfy the boom-bam crowd without a huge sacrifice of character and mood,3
it 's inoffensive and actually rather sweet,3
a good chance of being the big,4
", an interesting and at times captivating take on loss and loneliness .",3
will,2
"The acting in Pauline And Paulette is good all round , but what really sets the film apart is Debrauwer 's refusal to push the easy emotional buttons .",4
at least one damn fine,3
awe and affection -- and,4
battle,2
Rock 's stand-up magic wanes .,1
"'s a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today",4
in the truest sense,3
chillingly,3
the movie looks genuinely pretty .,4
love and,3
... stale and uninspired .,1
than in amusing us,2
"second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and",3
he allows a gawky actor like Spall -- who could too easily become comic relief in any other film -- to reveal his impressively delicate range .,3
ever,2
sex in the movies look like cheap hysterics,1
diverse,3
sense of humor,3
an excellent 90-minute film,4
upon it,2
... one of the most entertaining monster movies in ages ...,4
is honestly,3
this stylish film,3
inventive screenplay,3
